lessonId,displayLessonNumber,pageFile,screenId,screenTitle,controlId,buttonText,teachingGoal,targetSymbol,displayText,expectedSpeechText,expectedAudioType,pronunciationType,pronunciationRule,challengeOrLearning,beforeAnswerHidden,afterAnswerExplanation,catalogEntryId,catalogSpeechText,audioFilePath,fileExists,exactMatch,reviewStatus,voiceSource,model,generationDate,commercialUseBasis,nativeReviewer,fallbackBehavior,mobilePlaybackRisk,serviceWorkerCached,issueType,priority,recommendedAction,enabled
lesson-00,0,lesson-00.html,map-ㄱ,字母地图详情,lesson00-ㄱ-letter-name,字母名称音频待补充,明确教学韩文字母名称,ㄱ,기역,기역,letter-name,letter name,,learning,not-applicable,not-applicable,,,,false,false,missing,,,,,,none; fail closed with localized status,user gesture required; state reset must be verified on iOS/Android,not-applicable,missing-catalog-entry,P1,Create an exact typed catalog record before generation.,false
lesson-00,0,lesson-00.html,map-ㄱ,字母地图详情,lesson00-ㄱ-demo,听示例音节 가,在完整音节中示范初声,ㄱ,가,가,initial-example,onset inside full syllable,,learning,not-applicable,not-applicable,lesson-01:ga,가,audio/lesson-01/ga.mp3,true,true,pending,openai-gpt-4o-mini-tts,gpt-4o-mini-tts,,pending-documentation,,none; fail closed with localized status,user gesture required; state reset must be verified on iOS/Android,runtime network-first; not precached,rights-and-review-metadata-gap,P1,"Keep disabled until approved, exact, rights-complete, and available.",false
lesson-00,0,lesson-00.html,map-ㄴ,字母地图详情,lesson00-ㄴ-letter-name,字母名称音频待补充,明确教学韩文字母名称,ㄴ,니은,니은,letter-name,letter name,,learning,not-applicable,not-applicable,,,,false,false,missing,,,,,,none; fail closed with localized status,user gesture required; state reset must be verified on iOS/Android,not-applicable,missing-catalog-entry,P1,Create an exact typed catalog record before generation.,false
lesson-00,0,lesson-00.html,map-ㄴ,字母地图详情,lesson00-ㄴ-demo,听示例音节 나,在完整音节中示范初声,ㄴ,나,나,initial-example,onset inside full syllable,,learning,not-applicable,not-applicable,lesson-01:na,나,audio/lesson-01/na.mp3,true,true,pending,openai-gpt-4o-mini-tts,gpt-4o-mini-tts,,pending-documentation,,none; fail closed with localized status,user gesture required; state reset must be verified on iOS/Android,runtime network-first; not precached,rights-and-review-metadata-gap,P1,"Keep disabled until approved, exact, rights-complete, and available.",false
lesson-00,0,lesson-00.html,map-ㄷ,字母地图详情,lesson00-ㄷ-letter-name,字母名称音频待补充,明确教学韩文字母名称,ㄷ,디귿,디귿,letter-name,letter name,,learning,not-applicable,not-applicable,,,,false,false,missing,,,,,,none; fail closed with localized status,user gesture required; state reset must be verified on iOS/Android,not-applicable,missing-catalog-entry,P1,Create an exact typed catalog record before generation.,false
lesson-00,0,lesson-00.html,map-ㄷ,字母地图详情,lesson00-ㄷ-demo,听示例音节 다,在完整音节中示范初声,ㄷ,다,다,initial-example,onset inside full syllable,,learning,not-applicable,not-applicable,lesson-02:da,다,audio/lesson-02/da.mp3,true,true,pending,openai-gpt-4o-mini-tts,gpt-4o-mini-tts,,pending-documentation,,none; fail closed with localized status,user gesture required; state reset must be verified on iOS/Android,runtime network-first; not precached,rights-and-review-metadata-gap,P1,"Keep disabled until approved, exact, rights-complete, and available.",false
lesson-00,0,lesson-00.html,map-ㄹ,字母地图详情,lesson00-ㄹ-letter-name,字母名称音频待补充,明确教学韩文字母名称,ㄹ,리을,리을,letter-name,letter name,,learning,not-applicable,not-applicable,,,,false,false,missing,,,,,,none; fail closed with localized status,user gesture required; state reset must be verified on iOS/Android,not-applicable,missing-catalog-entry,P1,Create an exact typed catalog record before generation.,false
lesson-00,0,lesson-00.html,map-ㄹ,字母地图详情,lesson00-ㄹ-demo,听示例音节 라,在完整音节中示范初声,ㄹ,라,라,initial-example,onset inside full syllable,,learning,not-applicable,not-applicable,lesson-02:ra,라,audio/lesson-02/ra.mp3,true,true,pending,openai-gpt-4o-mini-tts,gpt-4o-mini-tts,,pending-documentation,,none; fail closed with localized status,user gesture required; state reset must be verified on iOS/Android,runtime network-first; not precached,rights-and-review-metadata-gap,P1,"Keep disabled until approved, exact, rights-complete, and available.",false
lesson-00,0,lesson-00.html,map-ㅁ,字母地图详情,lesson00-ㅁ-letter-name,字母名称音频待补充,明确教学韩文字母名称,ㅁ,미음,미음,letter-name,letter name,,learning,not-applicable,not-applicable,,,,false,false,missing,,,,,,none; fail closed with localized status,user gesture required; state reset must be verified on iOS/Android,not-applicable,missing-catalog-entry,P1,Create an exact typed catalog record before generation.,false
lesson-00,0,lesson-00.html,map-ㅁ,字母地图详情,lesson00-ㅁ-demo,听示例音节 마,在完整音节中示范初声,ㅁ,마,마,initial-example,onset inside full syllable,,learning,not-applicable,not-applicable,lesson-02:ma,마,audio/lesson-02/ma.mp3,true,true,pending,openai-gpt-4o-mini-tts,gpt-4o-mini-tts,,pending-documentation,,none; fail closed with localized status,user gesture required; state reset must be verified on iOS/Android,runtime network-first; not precached,rights-and-review-metadata-gap,P1,"Keep disabled until approved, exact, rights-complete, and available.",false
lesson-00,0,lesson-00.html,map-ㅂ,字母地图详情,lesson00-ㅂ-letter-name,字母名称音频待补充,明确教学韩文字母名称,ㅂ,비읍,비읍,letter-name,letter name,,learning,not-applicable,not-applicable,,,,false,false,missing,,,,,,none; fail closed with localized status,user gesture required; state reset must be verified on iOS/Android,not-applicable,missing-catalog-entry,P1,Create an exact typed catalog record before generation.,false
lesson-00,0,lesson-00.html,map-ㅂ,字母地图详情,lesson00-ㅂ-demo,听示例音节 바,在完整音节中示范初声,ㅂ,바,바,initial-example,onset inside full syllable,,learning,not-applicable,not-applicable,lesson-03:ba,바,audio/lesson-03/ba.mp3,true,true,pending,openai-gpt-4o-mini-tts,gpt-4o-mini-tts,,pending-documentation,,none; fail closed with localized status,user gesture required; state reset must be verified on iOS/Android,runtime network-first; not precached,rights-and-review-metadata-gap,P1,"Keep disabled until approved, exact, rights-complete, and available.",false
lesson-00,0,lesson-00.html,map-ㅅ,字母地图详情,lesson00-ㅅ-letter-name,字母名称音频待补充,明确教学韩文字母名称,ㅅ,시옷,시옷,letter-name,letter name,,learning,not-applicable,not-applicable,,,,false,false,missing,,,,,,none; fail closed with localized status,user gesture required; state reset must be verified on iOS/Android,not-applicable,missing-catalog-entry,P1,Create an exact typed catalog record before generation.,false
lesson-00,0,lesson-00.html,map-ㅅ,字母地图详情,lesson00-ㅅ-demo,听示例音节 사,在完整音节中示范初声,ㅅ,사,사,initial-example,onset inside full syllable,,learning,not-applicable,not-applicable,lesson-03:sa,사,audio/lesson-03/sa.mp3,true,true,pending,openai-gpt-4o-mini-tts,gpt-4o-mini-tts,,pending-documentation,,none; fail closed with localized status,user gesture required; state reset must be verified on iOS/Android,runtime network-first; not precached,rights-and-review-metadata-gap,P1,"Keep disabled until approved, exact, rights-complete, and available.",false
lesson-00,0,lesson-00.html,map-ㅇ,字母地图详情,lesson00-ㅇ-letter-name,字母名称音频待补充,明确教学韩文字母名称,ㅇ,이응,이응,letter-name,letter name,,learning,not-applicable,not-applicable,,,,false,false,missing,,,,,,none; fail closed with localized status,user gesture required; state reset must be verified on iOS/Android,not-applicable,missing-catalog-entry,P1,Create an exact typed catalog record before generation.,false
lesson-00,0,lesson-00.html,map-ㅇ,字母地图详情,lesson00-ㅇ-demo,听示例音节 아,在完整音节中示范初声,ㅇ,아,아,initial-example,onset inside full syllable,,learning,not-applicable,not-applicable,lesson-03:a,아,audio/lesson-03/a.mp3,true,true,pending,openai-gpt-4o-mini-tts,gpt-4o-mini-tts,,pending-documentation,,none; fail closed with localized status,user gesture required; state reset must be verified on iOS/Android,runtime network-first; not precached,rights-and-review-metadata-gap,P1,"Keep disabled until approved, exact, rights-complete, and available.",false
lesson-00,0,lesson-00.html,map-ㅈ,字母地图详情,lesson00-ㅈ-letter-name,字母名称音频待补充,明确教学韩文字母名称,ㅈ,지읒,지읒,letter-name,letter name,,learning,not-applicable,not-applicable,,,,false,false,missing,,,,,,none; fail closed with localized status,user gesture required; state reset must be verified on iOS/Android,not-applicable,missing-catalog-entry,P1,Create an exact typed catalog record before generation.,false
lesson-00,0,lesson-00.html,map-ㅈ,字母地图详情,lesson00-ㅈ-demo,示例音节音频待补充,在完整音节中示范初声,ㅈ,자,자,initial-example,onset inside full syllable,,learning,not-applicable,not-applicable,k0-consonant-contrast:ja,자,audio/k0-consonant-contrast/ja.mp3,false,true,pending,openai-gpt-4o-mini-tts,gpt-4o-mini-tts,,pending-documentation,,none; fail closed with localized status,user gesture required; state reset must be verified on iOS/Android,runtime network-first; not precached,missing-audio,P1,"Keep disabled until approved, exact, rights-complete, and available.",false
lesson-00,0,lesson-00.html,map-ㅎ,字母地图详情,lesson00-ㅎ-letter-name,字母名称音频待补充,明确教学韩文字母名称,ㅎ,히읗,히읗,letter-name,letter name,,learning,not-applicable,not-applicable,,,,false,false,missing,,,,,,none; fail closed with localized status,user gesture required; state reset must be verified on iOS/Android,not-applicable,missing-catalog-entry,P1,Create an exact typed catalog record before generation.,false
lesson-00,0,lesson-00.html,map-ㅎ,字母地图详情,lesson00-ㅎ-demo,示例音节音频待补充,在完整音节中示范初声,ㅎ,하,하,initial-example,onset inside full syllable,,learning,not-applicable,not-applicable,,,,false,false,missing,,,,,,none; fail closed with localized status,user gesture required; state reset must be verified on iOS/Android,not-applicable,missing-catalog-entry,P1,Create an exact typed catalog record before generation.,false
lesson-00,0,lesson-00.html,map-ㅋ,字母地图详情,lesson00-ㅋ-letter-name,字母名称音频待补充,明确教学韩文字母名称,ㅋ,키읔,키읔,letter-name,letter name,,learning,not-applicable,not-applicable,,,,false,false,missing,,,,,,none; fail closed with localized status,user gesture required; state reset must be verified on iOS/Android,not-applicable,missing-catalog-entry,P1,Create an exact typed catalog record before generation.,false
lesson-00,0,lesson-00.html,map-ㅋ,字母地图详情,lesson00-ㅋ-demo,示例音节音频待补充,在完整音节中示范初声,ㅋ,카,카,initial-example,onset inside full syllable,,learning,not-applicable,not-applicable,k0-consonant-contrast:ka,카,audio/k0-consonant-contrast/ka.mp3,false,true,pending,openai-gpt-4o-mini-tts,gpt-4o-mini-tts,,pending-documentation,,none; fail closed with localized status,user gesture required; state reset must be verified on iOS/Android,runtime network-first; not precached,missing-audio,P1,"Keep disabled until approved, exact, rights-complete, and available.",false
